lat,lon,date_iso,plant
37.82216,38.43472,2023-03-12,Biber
36.82073,38.77776,2022-03-17,Mercimek
36.80266,40.14497,2023-11-07,Nohut
37.03587,40.1326,2020-11-12,Antep Fıstığı
36.69202,39.30245,2024-08-12,Buğday
37.76132,39.21416,2021-05-31,Pamuk
37.73229,38.26611,2020-04-10,Mercimek
37.07706,38.95298,2022-08-25,Biber
37.48884,38.72573,2023-11-13,Antep Fıstığı
37.31647,37.86871,2025-01-24,Mısır
36.83346,39.36744,2023-01-28,Antep Fıstığı
37.08365,38.63044,2024-03-30,Mercimek
37.8618,38.26884,2021-10-26,Antep Fıstığı
37.29606,38.18306,2021-05-10,Buğday
37.00958,37.87212,2022-09-08,Buğday
37.7824,38.03559,2020-05-25,Buğday
37.57518,39.62497,2024-07-03,Arpa
36.66466,38.04727,2025-09-03,Arpa
36.65212,38.26185,2020-07-12,Buğday
37.92906,39.50722,2022-10-23,Mısır
36.9239,38.17368,2025-10-08,Antep Fıstığı
37.06493,38.23565,2022-01-15,Pamuk
37.18023,39.67668,2025-05-03,Mercimek
36.77576,38.72547,2024-03-06,Biber
37.12431,38.04684,2020-06-26,Mısır
36.81281,38.84667,2022-01-22,Mercimek
36.67753,39.31018,2020-08-13,Buğday
36.69103,38.67768,2025-11-10,Buğday
37.87933,38.97169,2025-07-28,Buğday
37.49598,39.96296,2024-11-15,Arpa
37.6014,39.68431,2024-01-14,Pamuk
37.93626,39.92742,2023-05-24,Mısır
37.27586,39.09054,2024-10-04,Pamuk
37.2965,38.24152,2024-11-08,Mercimek
37.40076,38.15621,2023-01-14,Buğday
36.97368,40.01648,2021-05-31,Mısır
36.80926,38.56711,2023-09-14,Domates
37.46779,38.2138,2020-05-18,Buğday
37.11494,38.28426,2024-07-08,Biber
37.90584,39.55544,2022-08-18,Mısır
36.72176,38.25109,2023-09-05,Buğday
37.35784,39.91245,2024-09-09,Antep Fıstığı
37.51557,38.68656,2024-03-27,Antep Fıstığı
37.72699,38.30471,2024-10-21,Mercimek
36.92814,39.24439,2022-01-25,Arpa
37.21477,38.32538,2022-12-21,Arpa
37.31129,38.76267,2021-08-01,Antep Fıstığı
37.42071,39.25224,2025-02-26,Antep Fıstığı
37.35131,38.40429,2024-03-26,Nohut
37.93781,40.01054,2022-09-12,Mısır
37.90242,38.93358,2024-04-11,Nohut
37.87906,38.47018,2023-11-12,Biber
37.27435,38.97968,2023-09-01,Buğday
36.9322,38.46681,2021-02-25,Buğday
37.25329,38.14208,2022-08-25,Nohut
37.42886,38.81873,2023-04-20,Biber
37.86004,40.03163,2025-11-26,Domates
37.17645,39.08174,2020-09-30,Biber
37.52145,39.87433,2020-03-24,Mısır
37.12348,38.73586,2020-09-24,Antep Fıstığı
36.69163,39.12117,2020-11-14,Antep Fıstığı
